TSNE1,TSNE2,TSNE3,Set Label
-8.444,7.830,5.959,Set A
-0.693,4.235,-6.955,Set B
9.772,6.051,6.233,Set A
1.901,-0.809,8.761,Set A
-2.953,3.171,9.303,Set A
2.378,-5.459,-10.442,Set B
-0.923,8.728,-5.375,Set B
3.991,-3.110,-9.558,Set B
4.588,-2.687,-9.020,Set B
3.613,-8.612,-9.646,Set B
2.384,-6.391,-6.635,Set B
-1.265,0.366,-1.498,Set B
-1.087,0.202,-0.645,Set B
3.982,-5.006,-3.898,Set B
0.570,-4.939,-5.495,Set B
3.672,-6.832,6.195,Ambiguous
1.912,0.271,13.001,Set A
-7.066,1.318,-1.305,Set B
-1.885,2.212,-2.301,Set B
2.366,-1.967,-13.233,Set B
-4.423,7.807,-8.446,Set B
4.253,-10.991,-10.830,Set B
4.268,-11.142,-12.129,Set B
-1.019,8.436,5.971,Set A
8.595,-9.793,1.256,Set B
0.871,-9.123,-9.616,Set B
4.599,-8.927,1.356,Set B
-2.059,10.749,-1.338,Ambiguous
-1.502,9.579,-2.413,Set B
-4.009,6.422,2.812,Set A
-5.311,6.102,2.315,Ambiguous
-5.478,6.234,3.659,Set A
-4.986,5.009,3.197,Ambiguous
-3.084,-9.015,2.823,Set A
-8.915,7.195,8.268,Set A
-9.412,-1.480,6.583,Set A
2.645,-4.983,-5.217,Set B
1.874,-4.931,-6.405,Set B
-6.574,-2.097,2.278,Set B
3.179,-0.713,-1.137,Set B
4.201,2.655,-0.344,Set B
-9.489,4.686,6.633,Set A
4.541,3.254,-0.611,Ambiguous
-3.925,1.843,-0.349,Set B
1.450,-3.966,-13.303,Set B
0.551,-6.013,-10.737,Set B
8.003,-6.057,-4.484,Set B
6.350,-5.241,-3.849,Set B
2.142,2.140,4.330,Ambiguous
-4.955,0.724,-5.266,Set B
-2.710,3.757,-0.720,Set B
3.504,4.962,0.517,Ambiguous
-4.398,-0.179,-5.610,Set B
0.701,3.390,15.129,Set A
1.309,2.346,15.060,Set A
1.373,2.929,14.229,Set A
0.375,2.664,14.863,Set A
3.620,-3.505,5.383,Set B
