Iself,Iother
0.502,-0.032
0.502,-0.094
0.901,0.505
0.682,0.089
0.499,0.323
0.901,0.460
0.871,-0.055
0.480,0.117
0.682,-0.026
0.871,-0.178
0.369,-0.398
0.499,-0.208
0.480,0.037
0.369,-0.142
0.834,-0.222
0.584,0.405
0.440,0.542
0.834,-0.159
0.358,-0.098
0.453,0.288
0.584,0.385
0.358,0.318
0.646,-0.206
0.440,-0.012
0.453,0.332
0.646,-0.024
0.989,0.042
0.145,0.335
0.554,-0.052
0.989,-0.125
0.186,-0.308
0.597,-0.002
0.145,0.088
0.186,-0.260
0.738,0.042
0.554,-0.072
0.597,-0.030
0.738,0.410
0.746,0.347
0.403,-0.233
0.177,0.012
0.746,0.130
0.520,-0.206
0.557,-0.196
0.403,0.077
0.520,-0.118
0.564,-0.016
0.177,0.032
0.557,-0.282
0.564,0.086
0.402,0.276
0.757,0.221
0.154,0.488
0.402,0.213
0.460,0.156
0.314,0.102
0.757,0.001
0.460,-0.126
0.238,-0.390
0.154,0.012
0.314,-0.232
0.238,0.049
0.606,-0.012
0.751,-0.037
0.634,-0.039
0.606,-0.075
0.551,-0.052
0.109,0.267
0.751,-0.016
0.551,0.203
0.518,0.336
0.634,0.228
0.109,0.351
0.518,-0.068
0.782,-0.262
0.640,-0.241
0.608,-0.282
0.782,-0.243
0.642,-0.295
0.594,0.247
0.640,0.678
0.642,-0.128
0.616,0.150
0.608,0.292
0.594,0.514
0.616,0.169
0.849,0.522
0.849,0.196
0.393,0.070
-0.106,-0.391
0.109,-0.349
0.393,-0.303
0.589,-0.420
0.624,-0.190
-0.106,0.357
0.589,-0.369
0.615,-0.271
0.109,0.154
0.624,0.112
0.615,0.200
0.398,0.160
0.503,-0.096
0.542,-0.013
0.398,0.293
0.477,0.120
0.338,-0.023
0.503,-0.007
0.477,0.334
0.331,0.412
0.542,0.053
0.338,0.278
0.331,0.078
0.302,-0.292
0.574,-0.299
-0.061,0.141
0.302,-0.234
-0.066,0.383
0.545,-0.081
0.574,-0.506
-0.066,0.300
0.260,0.251
-0.061,0.243
0.545,0.279
0.260,0.166
0.209,-0.212
-0.020,-0.035
0.491,0.165
0.209,-0.097
-0.001,-0.317
0.246,-0.496
-0.020,0.045
-0.001,-0.002
0.400,0.202
0.491,0.351
0.246,-0.189
0.400,-0.013
0.083,0.044
-0.025,0.242
-0.342,-0.107
0.083,-0.357
0.285,-0.007
-0.595,-0.206
-0.025,0.210
0.285,0.211
-0.234,-0.131
-0.342,-0.213
-0.595,0.010
-0.234,-0.401
0.403,0.020
0.676,-0.743
0.569,0.389
0.403,0.506
0.839,0.511
0.676,-0.091
0.676,-0.195
0.839,-0.086
0.635,0.032
0.569,0.316
0.676,0.542
0.635,0.601
0.319,0.554
-0.677,0.139
-0.067,0.364
0.319,0.489
0.073,0.402
0.149,0.103
-0.677,0.364
0.073,0.609
0.635,0.794
-0.067,0.582
0.149,0.081
0.635,0.441
0.470,0.689
0.736,0.594
0.470,0.033
0.259,0.079
0.736,0.061
0.259,0.101
0.348,0.086
0.558,0.077
0.060,-0.344
0.348,-0.239
0.537,-0.222
-0.119,-0.003
0.558,0.352
0.537,0.586
-0.100,0.750
0.060,-0.517
-0.119,-0.271
-0.100,0.039
0.651,0.622
0.651,-0.242
0.683,0.293
0.421,0.626
-0.050,0.342
0.683,0.541
0.341,0.531
0.021,0.616
0.421,0.576
0.341,-0.321
0.676,0.546
-0.050,0.379
0.021,0.459
0.676,0.367
0.461,-0.497
0.076,-0.440
0.337,0.614
0.461,0.731
-0.173,-0.522
-0.285,-0.192
0.076,0.206
-0.173,-0.000
0.092,-0.499
0.337,0.234
-0.285,0.132
0.092,0.526
0.914,-0.239
0.632,-0.141
0.721,0.262
0.914,0.173
0.737,0.208
0.775,0.486
0.632,0.660
0.737,-0.318
0.883,-0.360
0.721,-0.370
0.775,-0.365
0.883,0.156
0.495,0.176
0.044,0.650
-0.202,0.146
0.495,0.138
0.039,0.128
-0.089,-0.003
0.044,-0.213
0.039,-0.383
0.551,0.125
-0.202,0.205
-0.089,0.110
0.551,-0.643
0.721,-0.739
0.500,-0.475
0.539,-0.546
0.721,-0.464
0.477,-0.545
0.757,-0.200
0.500,0.331
0.477,-0.122
-0.035,-0.230
0.539,0.429
0.757,0.586
-0.035,0.521
0.494,0.616
-0.032,0.712
0.191,0.441
0.494,0.125
0.371,-0.296
0.447,-0.078
-0.032,-0.103
0.371,0.438
0.095,0.362
0.191,0.219
0.447,0.584
0.095,-0.335
0.666,-0.374
0.645,0.029
0.577,-0.390
0.666,0.480
0.888,0.291
0.798,0.077
0.645,0.258
0.888,0.883
0.876,0.714
0.577,0.650
0.798,0.334
0.876,-0.298
0.615,-0.196
0.424,-0.265
0.682,-0.729
0.615,-0.231
0.896,-0.209
0.362,-0.420
0.424,-0.118
0.896,-0.444
0.182,-0.403
0.682,0.067
0.362,0.087
0.182,0.034
-0.206,-0.082
-0.206,-0.268
0.275,-0.309
0.294,0.058
0.268,-0.155
0.275,-0.068
0.674,-0.373
0.410,-0.009
0.294,-0.338
0.674,-0.317
0.787,0.067
0.268,0.380
0.410,0.463
0.787,0.487
0.149,0.421
0.436,0.176
0.191,0.183
0.149,0.101
0.768,0.269
0.693,-0.257
0.436,-0.052
0.768,-0.083
0.819,-0.271
0.191,-0.245
0.693,-0.454
0.819,0.903
0.875,-0.446
-0.171,0.103
-0.206,0.801
0.875,0.371
-0.046,0.188
-0.141,0.376
-0.171,0.685
-0.046,0.351
0.764,0.268
-0.206,0.295
-0.141,0.618
0.764,0.308
0.345,-0.544
-0.124,-0.465
-0.385,-0.450
0.345,-0.773
0.455,-0.574
0.016,0.271
-0.124,-0.206
0.455,-0.478
0.581,-0.062
-0.385,0.336
0.016,-0.083
0.581,-0.236
0.360,-0.123
0.266,-0.014
0.223,-0.217
0.360,-0.206
0.146,-0.348
0.342,-0.419
0.266,0.612
0.146,0.264
-0.126,0.359
0.223,0.090
0.342,0.105
-0.126,-0.068
0.856,-0.013
0.184,-0.216
0.778,-0.456
0.856,0.348
0.074,-0.072
0.805,0.294
0.184,-0.109
0.074,-0.547
0.279,0.129
0.778,0.008
0.805,0.486
0.279,-0.694
0.424,-0.674
0.181,-0.340
0.405,-0.328
0.424,0.545
-0.169,0.641
-0.208,0.705
0.181,0.141
-0.169,0.088
0.648,0.335
0.405,0.622
-0.208,-0.177
0.648,0.065
0.953,-0.347
0.884,0.281
0.889,-0.451
0.953,-0.397
0.934,-0.384
0.892,-0.212
0.884,-0.098
0.934,0.104
0.935,0.386
0.889,0.605
0.892,0.167
0.935,0.732
-0.358,0.529
-0.024,0.160
-0.358,0.037
0.519,0.317
-0.024,0.204
0.519,0.137
0.645,-0.110
0.258,0.168
0.307,0.091
0.645,0.170
-0.116,0.019
0.193,0.456
0.258,0.486
-0.116,-0.346
0.001,-0.228
0.307,-0.256
0.193,-0.240
0.001,-0.698
0.102,-0.592
0.808,-0.560
0.469,-0.520
0.102,-0.071
0.224,-0.300
0.512,0.206
0.808,0.470
0.224,0.171
0.663,0.254
0.469,0.143
0.512,0.039
0.663,0.207
0.691,0.150
0.090,0.239
0.691,-0.126
-0.112,-0.169
0.090,-0.327
-0.112,-0.450
0.325,-0.143
-0.398,-0.025
0.604,0.217
0.325,-0.221
-0.153,-0.201
0.155,-0.113
-0.398,-0.295
-0.153,-0.365
-0.185,-0.042
0.604,0.117
0.155,-0.657
-0.185,-0.363
0.930,-0.147
0.925,-0.098
0.982,0.355
0.930,0.214
0.943,-0.533
0.961,-0.678
0.925,-0.617
0.943,-0.322
0.932,-0.087
0.982,-0.386
0.961,0.361
0.932,0.323
0.616,0.355
0.567,0.360
0.717,0.398
0.616,0.410
-0.044,0.119
0.402,0.387
0.567,0.611
-0.044,0.400
0.500,-0.835
0.717,-0.809
0.402,0.025
0.500,0.597
-0.134,0.563
0.533,0.455
-0.134,0.457
0.230,0.049
0.533,0.257
0.230,0.297
0.789,-0.106
0.727,0.232
0.218,-0.150
0.789,-0.217
0.450,0.037
0.069,0.369
0.727,0.124
0.450,0.462
0.058,-0.145
0.218,0.753
0.069,0.463
0.058,-0.494
0.502,0.458
0.399,0.400
-0.515,0.660
0.502,0.513
0.017,-0.488
-0.055,-0.127
0.399,0.636
0.017,0.483
-0.185,-0.014
-0.515,0.436
-0.055,-0.278
-0.185,-0.032
0.804,-0.596
0.584,-0.059
0.804,0.399
0.433,-0.613
0.584,-0.061
0.433,-0.006
0.765,-0.211
0.640,0.289
-0.353,0.130
0.765,0.548
0.889,0.624
-0.222,0.106
0.640,-0.191
0.889,0.017
-0.249,0.234
-0.353,0.026
-0.222,0.097
-0.249,-0.625
0.691,-0.256
-0.159,0.265
0.691,0.555
-0.343,0.484
-0.159,0.305
-0.343,0.765
,-0.202
,0.448
,0.365
,0.005
,-0.098
,0.658
,0.202
,0.413
,0.214
,0.654
,0.353
,0.251
,0.460
,0.046
,0.590
,0.237
,0.528
,0.489
,0.761
,-0.329
,0.330
,-0.176
,-0.221
,-0.488
,-0.728
,0.104
,0.154
,-0.446
,-0.474
,-0.038
,0.543
,0.267
,0.604
,-0.239
,0.454
,-0.438
,-0.400
,0.335
,-0.170
,-0.157
,-0.010
,0.307
,0.415
,0.819
,0.768
,0.816
,0.813
,0.123
,0.531
,0.401
,-0.629
,-0.812
,0.027
,-0.156
,0.354
,0.677
,0.341
,0.377
,-0.271
,-0.298
,0.593
,-0.086
,0.509
,0.346
,0.079
,0.337
,0.264
,0.319
,0.369
,-0.158
,-0.601
,0.079
,-0.241
,0.105
,-0.268
,-0.141
,-0.278
,-0.010
,-0.119
,0.079
,0.004
,0.407
,-0.490
,0.050
,-0.384
,-0.363
,0.236
,-0.644
,-0.294
,-0.241
,0.147
,-0.183
,0.173
,0.080
,-0.151
,-0.464
,0.664
,0.659
,0.641
,0.077
,0.036
,-0.008
,0.065
,0.183
,0.125
,0.521
,0.358
,0.096
,0.340
,0.474
,0.619
,-0.068
,-0.125
,0.764
,0.622
,0.698
,0.217
,-0.145
,0.259
,0.071
,-0.204
,0.071
,0.016
,0.033
,-0.005
,-0.205
,-0.400
,-0.034
,-0.054
,0.274
,0.469
,0.277
,0.557
,-0.830
,0.227
,0.158
,0.345
,-0.193
,0.606
,0.590
,0.288
,0.281
,0.125
,0.296
,0.271
,-0.666
,0.319
,0.425
,0.485
,0.543
,0.042
,-0.396
,0.260
,0.300
,-0.486
,-0.117
,0.167
,-0.370
,0.024
,0.416
,0.204
,0.547
,-0.708
,-0.507
,-0.198
,-0.288
,0.376
,0.044
,0.248
,-0.384
,-0.172
,0.040
,0.037
,-0.351
,-0.190
,0.376
,-0.045
,0.273
,-0.059
,0.218
,-0.183
,-0.147
,-0.034
,-0.185
,-0.329
,-0.697
,-0.785
,-0.810
,-0.425
,-0.707
,-0.821
,-0.649
,-0.188
,-0.585
,-0.642
,-0.057
,0.126
,0.559
,0.182
,0.472
,0.172
,0.183
,-0.095
,-0.312
,0.069
,0.249
,0.411
,0.631
,0.288
,-0.157
,-0.215
,0.149
,-0.258
,0.324
,-0.223
,0.146
,0.281
,0.750
,0.578
,0.533
,-0.096
,-0.258
,-0.057
,0.018
,-0.431
,-0.684
,-0.197
,-0.774
,-0.481
,-0.361
,-0.031
,-0.094
,-0.255
,0.149
,0.254
,-0.467
,-0.207
,0.144
,0.190
,0.160
,0.070
,0.026
,-0.531
,-0.284
,0.052
,0.153
,-0.092
,-0.001
,-0.045
,0.182
,-0.129
,-0.124
,-0.137
,-0.501
,-0.259
,0.095
,0.067
,-0.052
,-0.749
,0.701
,-0.291
,-0.289
,0.746
,0.067
,-0.078
,0.028
,0.259
,0.123
,0.109
,0.270
,0.494
,0.326
,-0.105
,-0.025
,-0.001
,-0.260
,-0.255
,-0.134
,-0.084
,-0.327
,0.230
,-0.093
,-0.317
,-0.001
,-0.330
,-0.002
,-0.377
,-0.360
,-0.198
,-0.171
,0.529
,0.189
,0.233
,-0.130
,0.287
,-0.115
