Subject,Run,TSNE1,TSNE2,TSNE3,Positive,Negative,Future,Past,Myself,People,Surroundings,Images,Words,Specific,Intrusive,Set Label,Group Probability
sub-010107,post-ses-02-run-02-acq-AP,0.6959862,-3.773076,6.629939,-0.6,-0.42857142857142855,-0.6,0.0,-0.14285714285714285,-0.8,-0.35294117647058826,-0.5714285714285714,0.0,-1.375,-0.14285714285714285,Set A,0.9432292488038453
sub-010107,post-ses-02-run-02-acq-PA,-4.305252,2.7466047,11.443597,-1.6,0.2857142857142857,-1.6,-0.25,-0.14285714285714285,-1.8,-0.11764705882352941,-1.1428571428571428,0.0,-1.375,-0.14285714285714285,Set A,0.9999971004181463
sub-010108,post-ses-02-run-01-acq-AP,-0.82681614,-4.595086,-14.0756035,1.4,-0.7142857142857143,0.4,1.25,1.0,1.2,-0.9411764705882353,0.42857142857142855,1.0526315789473684,0.375,0.2857142857142857,Set B,0.9998543904209515
sub-010108,post-ses-02-run-01-acq-PA,-0.98700696,-0.9328981,-12.94991,1.4,1.1428571428571428,1.4,1.25,0.7142857142857143,1.0,0.35294117647058826,0.2857142857142857,0.9473684210526315,0.375,-0.2857142857142857,Set B,0.9996423241756465
sub-010108,post-ses-02-run-02-acq-AP,-1.2264456,0.24803108,-12.676652,0.8,1.1428571428571428,0.8,0.625,0.8571428571428571,1.2,0.9411764705882353,0.14285714285714285,1.0526315789473684,0.5,0.42857142857142855,Set B,0.9978535207396111
sub-010108,post-ses-02-run-02-acq-PA,0.6656849,1.6497726,-10.018533,0.6,1.0,-0.8,0.625,0.7142857142857143,1.0,0.35294117647058826,-0.14285714285714285,1.0526315789473684,0.5,-0.2857142857142857,Set B,0.9693488217751159
sub-010018,post-ses-02-run-01-acq-AP,8.427656,-5.45255,-6.385749,0.0,0.14285714285714285,0.8,-0.5,0.0,0.6,-0.47058823529411764,0.7142857142857143,-0.631578947368421,0.75,-0.5714285714285714,Set B,0.9988902155821687
sub-010018,post-ses-02-run-01-acq-PA,7.902946,-6.67038,2.263908,-0.4,0.0,0.4,-0.625,-1.0,-0.2,-0.47058823529411764,0.42857142857142855,-0.8421052631578947,-0.5,0.42857142857142855,Set B,0.9009596591044351
sub-010018,post-ses-02-run-02-acq-AP,7.8518605,-8.473529,1.3568051,-0.2,0.2857142857142857,-0.2,-0.875,-0.42857142857142855,0.8,-0.7058823529411765,0.5714285714285714,-0.7368421052631579,-0.625,0.42857142857142855,Set B,0.9727030538187795
sub-010018,post-ses-02-run-02-acq-PA,-1.9683406,8.533366,3.7985423,-1.0,0.8571428571428571,0.0,-1.0,-0.7142857142857143,0.0,0.35294117647058826,0.5714285714285714,-0.9473684210526315,-0.625,0.5714285714285714,Ambiguous,0.7107725287690927
